group,team,fifa_seed_in_group,ai_outlook
A,Mexico,1,"Mexico have a realistic chance of advancing, often a group stage staple. Their key strength is depth and experience in tournament play. A notable weakness is occasional inconsistency in big matches. Star player Hirving Lozano provides pace and creativity."
A,South Africa,2,"South Africa face an uphill battle to advance, but their athleticism and counter-attacking style could cause upsets. Lack of top-tier talent is a key weakness. Star player Percy Tau offers flair and goal threat."
A,South Korea,3,"South Korea are competitive and have a solid chance to advance, relying on team cohesion and tactical discipline. Defensive lapses remain a weakness. Star player Son Heung-min is a world-class attacker capable of decisive moments."
A,Czech Republic,4,"Czech Republic have a moderate chance of advancing, with a strong midfield and set-piece prowess. However, they lack a prolific striker. Star player Patrik Schick provides a physical presence and finishing ability."
B,Canada,1,"Realistic chance to advance as second behind Switzerland. Key strength is explosive pace on the counter, led by Alphonso Davies and Jonathan David. Key weakness is defensive inexperience at this level. Star player: Alphonso Davies."
B,Bosnia and Herzegovina,2,"Outside chance to advance if they click. Key strength is creative attacking talent, especially Edin Džeko and Miralem Pjanić. Key weakness is defensive fragility and lack of depth. Star player: Edin Džeko."
B,Qatar,3,Unlikely to advance despite Asian Cup pedigree. Key strength is team cohesion and set-piece threat. Key weakness is facing higher-quality opponents consistently. Star player: Akram Afif.
B,Switzerland,4,Strong favorites to win the group. Key strength is tactical discipline and a solid defensive structure. Key weakness is a lack of a world-class goalscorer. Star player: Breel Embolo.
C,Brazil,1,"Brazil are overwhelming favorites to top the group. Their key strength is unmatched depth in attack, with players like Vinicius Jr. and Neymar. However, occasional defensive lapses and overconfidence could be exploited. Star player: Neymar. Realistic chance of advancing: near-certain."
C,Morocco,2,"Morocco, semifinalists in 2022, have a solid chance of advancing. Their key strength is a well-organized defense led by Achraf Hakimi. Weakness is a lack of consistent goal-scoring. Star player: Achraf Hakimi. Realistic chance: strong, likely second place."
C,Haiti,3,"Haiti are clear underdogs but can surprise with pace and counter-attacks. Key strength is athleticism, but they lack experience at this level. Star player: Duckens Nazon. Realistic chance: very low, likely group exit."
C,Scotland,4,"Scotland have an outside shot at advancing, relying on team spirit and set pieces. Key strength is midfield energy, but they struggle against top technical sides. Star player: Andy Robertson. Realistic chance: moderate, fighting for second."
